Name,Twitter
James S Gilmore,gov_gilmore
George E. Pataki,GovernorPataki
Jim Webb,JimWebbUSA
Chris Christie,ChrisChristie
Hillary Clinton,HillaryClinton
Dr. Ben Carson,RealBenCarson
Lindsey Graham,LindseyGrahamSC
Dr. Rand Paul,RandPaul
Bernie Sanders,BernieSanders
Jeb Bush,JebBush
Lincoln Chafee,LincolnChafee
Carly Fiorina,CarlyFiorina
Rick Santorum,RickSantorum
Scott Walker,ScottWalker
Donald J. Trump,realDonaldTrump
Ted Cruz,tedcruz
Rick Perry,GovernorPerry
John Kasich,JohnKasich
Gov. Bobby Jindal,BobbyJindal
Martin O'Malley,MartinOMalley
Marco Rubio,marcorubio
Gov. Mike Huckabee,GovMikeHuckabee
Larry Lessig,Lessig2016
